,title,artist,producer,streams,album_sales,bpm,gender,time_signature,fanbase,song_length,instrument_number,key,release_year,use_in_media,pop,rock,rap,country,hip_hop,alt.,reggae,r&b,sad,happy,angry,desperatation,hopeful,fearful,ashamed,romantic,grammy,vma,billboard_music_award,ama,mtv
SONG29,Wrecking Ball,Miley Cyrus,"Dr. Luke, Cirkut","979,144,788",9,120,5,7,26050382,221,5,F,2013,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2
SONG30,Rude,Magic!,Adam Messinger,"1,596,870,249",8,144,2,7,6168945,224,5,D♭,2014,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0
SONG31,Empire state of mind ,Jay-Z ft. Alicia Keys ,"Al Shux, Janet Sewell-Ulepic, Angela Hunte","1,096,078",10,174,9,7,36730162,276,5,B,2009,2,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
SONG32,I'm Real ,Jennifer Lopez ft. Ja Rule,"Troy Oliver, Cory Rooney, L.E.S.","189,488,568",6,83,9,7,25648492,264,5,E,2001,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0
SONG33,My All,Mariah Carey and Boyz II Men,"Mariah Carey, Walter Afanasieff","137,673,653",2,108,9,7,28408943,267,5,G,1997,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0
SONG34,Crank That (Soulja Boy),Soulja Boy Tell em,Soulja Boy,"591,612,524",3,140,2,7,11492086,206,4,C,2007,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SONG35,Bodak Yellow,"Cardi B, ft. Bad bunny and J Balvin","J. White Did It, Laquan Green","911,511,661",11,125,9,7,31068285,223,3,B,2017,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
SONG36,Down ,Jay Sean ft. Lil Wayne,"J-Remy, Bobby Bass","752,332,209",0.5,132,2,7,9283933,209,5,B,2009,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SONG37,Stronger ,Kelly Clarkson,Greg Kurstin,"690,023,082",7,116,1,7,18090699,222,5,C,2006,8,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
SONG38,That's the way Love goes,Janet Jackson,"Jimmy Jam and Terry Lewis, Janet Jackson","151,886,979",6,98,1,7,5630971,262,5,F,1993,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
SONG39,Gold Digger,Kanye West ft. Jamie Foxx,"Kanye West, Jon Brion","1,215,191,992",8,93,2,7,67559627,208,5,D♭,2005,8,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
SONG40,Burn ,Usher,"Jermaine Dupri, Bryan Michael Cox","268,238,370",4,120,2,7,42013796,241,5,D♭,2004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
SONG41,We are never getting back together,Taylor Swift ,"Max Martin, Shellback, Taylor Swif","692,096,155",4.1,172,1,7,93297811,192,5,G,2021,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
SONG42,Savage , Meghan Thee Stallion,J. White Did It,"436,045,798",4,169,1,7,33505671,155,4,B,2000,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
SONG43,Smooth ,Santana ft. Rob Thomas,Matt Serletic,"418,980,271",0.5,116,2,7,13708536,295,6,A,1999,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
